round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
150,0.40792786617414645,0.6034754238987421,0.8213270144439987,0.44360937003147694,0.5360842932655966,0.781389679113378,elu,256,0.8,150,256,1,glorot_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.SGD'>,brick
150,1.8494088107375737,0.4605402787997259,0.7312796206835886,0.10204307884522833,0.9054500753682884,0.9485981308895609,relu,64,0.0,150,256,1,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Nadam'>,brick
200,1.6380329699312906,0.48222599391123694,0.7568720377452001,0.10198841181919373,0.9013679685364018,0.9490044698246317,elu,64,0.0,200,256,4,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.06892459276728155,0.5455203283454569,0.7999999993785297,0.05268707676619982,0.7080984956992443,0.8524989842012228,elu,128,0.3,200,64,4,random_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adadelta'>,funnel
100,0.4088242406528708,0.6055136287946836,0.8241706163397332,0.41099778532206843,0.5925259574163934,0.8023161319686551,relu,64,0.3,100,128,0,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,brick
150,0.061342093228446366,0.6144371030454951,0.8127962083048165,0.06920254231407506,0.5726039180277034,0.7913449818116288,elu,64,0.6,150,128,5,glorot_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.SGD'>,triangle
200,1.2562646425165835,0.5316025231686814,0.7620853074354018,0.17702786616560212,0.8490160479384774,0.916903697708088,elu,128,0.0,200,64,4,random_uniform,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,brick
200,0.42140737320009564,0.5862880340684646,0.816587678403086,0.38994326780647437,0.6184896411860875,0.8136936203099421,elu,64,0.6,200,128,1,random_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Nadam'>,brick
150,0.5636064858798168,0.0,0.7511848343492119,0.5862772709249917,0.0,0.7269402682321046,elu,32,0.8,150,64,5,glorot_normal,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.06827990908475849,0.02652832817692327,0.7545023699507329,0.08460557432932274,0.2364449048613882,0.7429906541087288,elu,256,0.8,100,64,2,random_uniform,sigmoid,logcosh,2,dense,<class 'keras.optimizers.Nadam'>,funnel
